model,model_label,parameters_billion,layers,hidden_size,attention_heads,cache_heads,head_dim,mean_reference_tokens_per_s,mean_simulated_tokens_per_s,mean_abs_relative_error_pct,max_abs_relative_error_pct,worst_platform
opt_6_7b,OPT-6.7B,6.700000,32,4096,32,32,128,16.966667,14.942540,8.257964,14.284094,cam_llm_l
opt_13b,OPT-13B,13.000000,40,5120,40,40,128,6.933333,7.713986,8.523720,12.795832,cam_llm_l
opt_30b,OPT-30B,30.000000,48,7168,56,56,128,3.633333,3.279509,6.397150,11.431701,cam_llm_l
opt_66b,OPT-66B,66.000000,64,9216,72,72,128,1.400000,1.414845,11.081213,12.394730,cam_llm_s
llama2_7b,LLaMA2-7B,6.740000,32,4096,32,32,128,16.000000,14.864750,4.701180,8.945177,cam_llm_l
llama2_13b,LLaMA2-13B,13.000000,40,5120,40,40,128,6.866667,7.713986,9.060843,14.407201,cam_llm_l
llama2_70b,LLaMA2-70B,69.000000,80,8192,64,8,128,1.566667,1.426950,10.362537,14.618002,cam_llm_l
